5	495
6	501
8	Abasto
21	Altos de San Lorenzo
7	Arturo Segui
9	City Bell
10	El Peligro
11	Etcheverry
12	Gonnet
14	Gorina
15	Hernandez
26	Isla Martin Garcia
16	Lisandro Olmos
17	Los Hornos
18	Melchor Romero
19	Ringuelet
20	San Carlos
1	Seccion 1ra
2	Seccion 2da
3	Seccion 3ra
4	Seccion 9na
25	Sicardi-Garibaldi-Arana-Correa
22	Tolosa
13	Villa Castells
23	Villa Elisa
24	Villa Elvira
